Iteration;TimeStep;Temps_avancement(ms);Temps_affichage(ms);Temps_total(ms)
0; 2; 0.00626; 80.9616; 80.9678
1; 4; 0.019583; 11.494; 11.5135
2; 6; 0.035969; 9.00161; 9.03758
3; 8; 0.102266; 7.30577; 7.40804
4; 10; 0.118441; 6.92502; 7.04346
5; 12; 0.114328; 3.78947; 3.9038
6; 14; 0.172815; 5.55269; 5.7255
7; 16; 0.286499; 8.32943; 8.61593
8; 18; 0.186238; 8.31344; 8.49968
9; 20; 0.19307; 6.24081; 6.43388
10; 22; 0.239086; 6.16234; 6.40142
11; 24; 0.209151; 3.15027; 3.35942
12; 26; 0.195836; 5.49916; 5.69499
13; 28; 0.203592; 2.70424; 2.90783
14; 30; 0.209915; 2.52713; 2.73705
15; 32; 0.202742; 3.48006; 3.6828
16; 34; 0.204901; 5.61231; 5.81721
17; 36; 0.200349; 4.51676; 4.71711
18; 38; 0.205509; 5.1432; 5.34871
19; 40; 0.205719; 6.6703; 6.87601
20; 42; 0.204864; 5.98112; 6.18599
21; 44; 0.3905; 4.66011; 5.05061
22; 46; 0.715035; 5.0932; 5.80823
23; 48; 0.199282; 5.63217; 5.83145
24; 50; 0.213758; 6.49144; 6.7052
25; 52; 0.194695; 5.83332; 6.02802
26; 54; 0.410689; 4.61485; 5.02554
27; 56; 0.207308; 5.02437; 5.23168
28; 58; 0.216366; 3.53838; 3.75474
29; 60; 0.666954; 6.36435; 7.0313
30; 62; 0.223063; 5.50479; 5.72785
31; 64; 0.298483; 4.27302; 4.5715
32; 66; 0.198984; 6.01723; 6.21621
33; 68; 0.358616; 6.09468; 6.4533
34; 70; 0.208854; 4.23131; 4.44016
35; 72; 0.193138; 6.12729; 6.32043
36; 74; 0.192738; 5.35094; 5.54367
37; 76; 0.194894; 6.61012; 6.80501
38; 78; 0.184046; 5.94798; 6.13202
39; 80; 0.186406; 4.61766; 4.80407
40; 82; 0.189007; 6.76396; 6.95297
41; 84; 0.754572; 5.99932; 6.75389
42; 86; 0.190382; 3.68394; 3.87433
43; 88; 0.184064; 5.6915; 5.87556
44; 90; 0.205806; 6.25157; 6.45738
45; 92; 0.427076; 6.43626; 6.86333
46; 94; 0.176801; 5.47265; 5.64945
47; 96; 0.17597; 6.30854; 6.48451
48; 98; 0.250715; 4.74736; 4.99807
49; 100; 0.185382; 3.12569; 3.31108
50; 102; 0.179054; 4.14562; 4.32467
51; 104; 0.178541; 7.8453; 8.02384
52; 106; 0.176908; 4.28668; 4.46359
53; 108; 0.203392; 3.66942; 3.87281
54; 110; 0.241951; 3.0189; 3.26085
55; 112; 0.18892; 4.12266; 4.31158
56; 114; 0.179973; 5.33263; 5.51261
57; 116; 0.17661; 2.194; 2.37061
58; 118; 0.257098; 5.66738; 5.92448
59; 120; 0.195206; 2.84172; 3.03692
60; 122; 0.164917; 4.07392; 4.23884
61; 124; 0.182161; 2.29942; 2.48158
62; 126; 0.25905; 6.24053; 6.49958
63; 128; 0.211845; 2.77732; 2.98916
64; 130; 0.187041; 4.15243; 4.33947
65; 132; 0.27674; 3.52806; 3.8048
66; 134; 0.179074; 5.89112; 6.07019
67; 136; 0.164486; 3.75808; 3.92256
68; 138; 0.182238; 3.4052; 3.58744
69; 140; 0.170404; 3.04675; 3.21715
70; 142; 0.254062; 2.66288; 2.91694
71; 144; 0.179158; 2.55191; 2.73107
72; 146; 0.257374; 2.46823; 2.72561
73; 148; 0.170371; 2.39818; 2.56855
74; 150; 0.176282; 2.32239; 2.49867
75; 152; 0.171542; 3.56434; 3.73588
76; 154; 0.167412; 2.54214; 2.70956
77; 156; 0.171628; 2.24929; 2.42092
78; 158; 0.176361; 2.83404; 3.0104
79; 160; 0.164428; 2.17838; 2.3428
80; 162; 0.166987; 3.11818; 3.28517
81; 164; 0.163532; 2.16457; 2.3281
82; 166; 0.181149; 4.93854; 5.11969
83; 168; 0.162419; 5.24524; 5.40766
84; 170; 0.157351; 6.34529; 6.50264
85; 172; 0.161456; 4.81861; 4.98006
86; 174; 0.173789; 2.85769; 3.03148
87; 176; 0.17451; 2.6731; 2.84761
88; 178; 0.179296; 3.20384; 3.38313
