Iteration;TimeStep;Temps_avancement(ms);Temps_affichage(ms);Temps_total(ms)
0; 2 ; 0.018931 ; 92.8705 ; 92.8894
1; 4 ; 0.122422 ; 43.4581 ; 43.5805
2; 6 ; 0.259037 ; 24.9682 ; 25.2272
3; 8 ; 0.181089 ; 9.50698 ; 9.68807
4; 10 ; 2.69048 ; 13.4636 ; 16.1541
5; 12 ; 0.251737 ; 4.76427 ; 5.01601
6; 14 ; 0.870355 ; 8.97194 ; 9.84229
7; 16 ; 0.711193 ; 5.65334 ; 6.36454
8; 18 ; 1.25777 ; 6.28061 ; 7.53838
9; 20 ; 1.14436 ; 5.92869 ; 7.07304
10; 22 ; 1.38095 ; 8.92102 ; 10.302
11; 24 ; 1.2632 ; 5.12778 ; 6.39098
12; 26 ; 3.47415 ; 5.31172 ; 8.78586
13; 28 ; 1.0366 ; 6.47967 ; 7.51627
14; 30 ; 0.979268 ; 8.86335 ; 9.84261
15; 32 ; 1.00911 ; 5.32203 ; 6.33114
16; 34 ; 0.918164 ; 5.28692 ; 6.20509
17; 36 ; 1.39412 ; 7.6817 ; 9.07582
18; 38 ; 1.16565 ; 6.49683 ; 7.66248
19; 40 ; 1.28101 ; 7.7459 ; 9.02691
20; 42 ; 3.98383 ; 6.614 ; 10.5978
21; 44 ; 0.571967 ; 3.42259 ; 3.99456
22; 46 ; 1.22903 ; 7.8317 ; 9.06073
23; 48 ; 1.00785 ; 5.78445 ; 6.7923
24; 50 ; 3.82347 ; 4.98759 ; 8.81106
25; 52 ; 1.2564 ; 8.16403 ; 9.42043
26; 54 ; 1.13103 ; 7.09214 ; 8.22317
27; 56 ; 1.10926 ; 5.18481 ; 6.29408
28; 58 ; 0.628126 ; 3.5121 ; 4.14023
29; 60 ; 1.00836 ; 6.10415 ; 7.11251
30; 62 ; 1.31717 ; 11.2793 ; 12.5965
31; 64 ; 1.42134 ; 6.17504 ; 7.59638
32; 66 ; 0.748152 ; 6.81956 ; 7.56771
33; 68 ; 1.30576 ; 8.7323 ; 10.0381
34; 70 ; 1.1355 ; 4.88084 ; 6.01634
35; 72 ; 1.22499 ; 5.68917 ; 6.91416
36; 74 ; 3.64053 ; 5.40387 ; 9.04439
37; 76 ; 1.34429 ; 8.16221 ; 9.50651
38; 78 ; 0.938884 ; 5.55262 ; 6.4915
39; 80 ; 1.23826 ; 5.90002 ; 7.13828
40; 82 ; 0.420375 ; 4.08789 ; 4.50827
41; 84 ; 0.427244 ; 2.1128 ; 2.54004
42; 86 ; 0.444825 ; 3.13605 ; 3.58087
43; 88 ; 0.576871 ; 3.09705 ; 3.67392
44; 90 ; 0.809041 ; 5.45695 ; 6.26599
45; 92 ; 1.03736 ; 5.19918 ; 6.23654
46; 94 ; 0.42772 ; 2.52839 ; 2.95611
47; 96 ; 3.07164 ; 3.52307 ; 6.59471
48; 98 ; 0.452363 ; 2.27773 ; 2.7301
49; 100 ; 0.959562 ; 1.9442 ; 2.90376
50; 102 ; 0.43149 ; 4.97289 ; 5.40438
51; 104 ; 0.571844 ; 1.97335 ; 2.5452
52; 106 ; 0.987728 ; 6.54363 ; 7.53135
53; 108 ; 1.25717 ; 4.54967 ; 5.80684
54; 110 ; 3.25081 ; 3.08062 ; 6.33143
55; 112 ; 1.05176 ; 7.06111 ; 8.11287
56; 114 ; 0.846753 ; 5.15704 ; 6.00379
57; 116 ; 0.950804 ; 5.62375 ; 6.57456
58; 118 ; 1.20466 ; 6.73967 ; 7.94433
59; 120 ; 0.892935 ; 2.97001 ; 3.86295
60; 122 ; 0.945777 ; 4.87817 ; 5.82394
61; 124 ; 0.996662 ; 5.6818 ; 6.67846
62; 126 ; 0.414459 ; 8.36898 ; 8.78344
63; 128 ; 1.19845 ; 7.06282 ; 8.26127
64; 130 ; 1.24298 ; 5.84058 ; 7.08356
65; 132 ; 0.542628 ; 4.60202 ; 5.14464
66; 134 ; 1.23565 ; 7.49098 ; 8.72663
67; 136 ; 1.08185 ; 4.52927 ; 5.61112
68; 138 ; 0.965048 ; 5.96576 ; 6.93081
69; 140 ; 0.414391 ; 4.26445 ; 4.67884
70; 142 ; 0.708557 ; 5.54626 ; 6.25482
71; 144 ; 1.41447 ; 8.49288 ; 9.90736
72; 146 ; 1.04089 ; 5.85546 ; 6.89635
73; 148 ; 1.13035 ; 5.64788 ; 6.77823
74; 150 ; 1.05876 ; 5.65993 ; 6.71869
75; 152 ; 0.956949 ; 5.32049 ; 6.27744
76; 154 ; 0.969873 ; 4.8353 ; 5.80517
77; 156 ; 0.642525 ; 5.55009 ; 6.19261
78; 158 ; 0.422391 ; 3.44115 ; 3.86354
79; 160 ; 0.534405 ; 4.63572 ; 5.17012
80; 162 ; 1.04853 ; 3.14363 ; 4.19216
81; 164 ; 1.09092 ; 5.92856 ; 7.01948
82; 166 ; 2.05875 ; 6.33479 ; 8.39353
83; 168 ; 1.8259 ; 5.57813 ; 7.40403
84; 170 ; 0.668845 ; 9.07622 ; 9.74507
85; 172 ; 1.05439 ; 5.12145 ; 6.17585
86; 174 ; 0.722979 ; 6.24632 ; 6.9693
87; 176 ; 1.02751 ; 9.6534 ; 10.6809
88; 178 ; 1.29023 ; 5.52534 ; 6.81557
89; 180 ; 0.624153 ; 5.38335 ; 6.00751
90; 182 ; 1.17851 ; 8.24759 ; 9.4261
91; 184 ; 0.607463 ; 6.16243 ; 6.76989
92; 186 ; 0.875538 ; 3.75447 ; 4.63
93; 188 ; 1.11663 ; 6.27598 ; 7.39261
94; 190 ; 0.80884 ; 3.62927 ; 4.43811
95; 192 ; 0.819219 ; 3.74428 ; 4.5635
96; 194 ; 0.958782 ; 10.2403 ; 11.1991
97; 196 ; 0.414826 ; 4.53618 ; 4.951
98; 198 ; 1.91871 ; 3.88792 ; 5.80662
99; 200 ; 0.412133 ; 5.03109 ; 5.44323
