Iteration;TimeStep;Temps_avancement(ms);Temps_affichage(ms);Temps_total(ms)
0;1;0.029021;72.3397;72.3687
1;2;0.035638;6.81345;6.84909
2;3;0.04585;6.34816;6.39401
3;4;0.06281;4.47789;4.5407
4;5;0.086839;5.75941;5.84625
5;6;0.113381;3.15672;3.2701
6;7;0.132825;6.29393;6.42675
7;8;0.362367;6.20796;6.57033
8;9;0.246358;5.1666;5.41296
9;10;0.365461;3.09442;3.45988
10;11;0.271757;3.78323;4.05499
11;12;1.89962;3.43743;5.33705
12;13;0.320604;4.55007;4.87067
13;14;0.36524;6.14501;6.51025
14;15;0.71243;5.60921;6.32164
15;16;0.506225;3.4045;3.91072
16;17;1.67443;2.63096;4.30539
17;18;0.843203;4.97423;5.81743
18;19;0.433682;3.24874;3.68242
19;20;0.503892;5.6455;6.14939
20;21;0.452773;4.96308;5.41585
21;22;0.750326;3.72592;4.47624
22;23;0.600521;3.19539;3.79591
23;24;0.470657;4.81827;5.28893
24;25;0.444587;8.38681;8.8314
25;26;0.457225;5.12832;5.58555
26;27;0.460381;3.83397;4.29435
27;28;0.572698;5.25534;5.82803
28;29;0.446137;2.31258;2.75871
29;30;0.682909;3.90308;4.58599
30;31;0.737481;5.82833;6.56581
31;32;0.444734;3.04604;3.49077
32;33;0.483518;3.39394;3.87746
33;34;0.445095;4.49422;4.93931
34;35;0.548447;5.94923;6.49767
35;36;0.456195;6.07408;6.53028
36;37;0.53539;3.26862;3.80401
37;38;0.638702;3.83921;4.47791
38;39;0.616665;4.40508;5.02175
39;40;0.453735;4.80906;5.26279
40;41;0.472877;3.6736;4.14648
41;42;0.481839;3.23536;3.7172
42;43;0.499379;4.75051;5.24988
43;44;0.561051;4.64933;5.21038
44;45;0.786543;5.85421;6.64075
45;46;0.511189;5.63574;6.14693
46;47;1.50754;2.40722;3.91476
47;48;0.62112;4.85503;5.47615
48;49;0.596608;6.02158;6.61819
49;50;0.477952;4.2054;4.68335
50;51;0.493791;3.50456;3.99835
51;52;0.461426;4.09735;4.55878
52;53;0.492743;4.6468;5.13955
53;54;0.459004;4.26231;4.72131
54;55;0.514075;3.81742;4.3315
55;56;0.588857;3.3136;3.90246
56;57;0.609227;3.74475;4.35398
57;58;0.573707;3.88916;4.46287
58;59;0.514872;3.50715;4.02202
59;60;0.484113;2.38255;2.86666
60;61;0.444129;2.74771;3.19184
61;62;0.458472;3.56254;4.02102
