Simulation Parameters:
Length: 1
Discretization: 100
Wind: (0, 0)
Start Fire Position: (10, 10)
MPI Processes: 1
OpenMP Threads: 8
-------------------------------------------
TimeStep;Temps_avancement(ms);Temps_affichage(ms);Temps_total(ms)
1;4.67046;104.689;109.36
2;3.3867;17.8857;21.2724
3;2.79917;12.4295;15.2286
4;1.637;4.61393;6.25093
5;0.029114;2.37947;2.40859
6;0.359425;4.66618;5.0256
7;0.054241;2.01615;2.07039
8;0.058914;3.22955;3.28847
9;0.222738;1.61315;1.83589
10;0.812842;1.92472;2.73756
11;0.07454;1.86181;1.93635
12;1.63034;1.44546;3.0758
13;1.33615;1.70845;3.0446
14;0.110755;2.09944;2.2102
15;0.260902;1.78858;2.04948
16;0.105746;2.42151;2.52726
17;1.64747;1.68409;3.33156
18;0.114087;1.1963;1.31039
19;0.14927;2.45231;2.60158
20;0.161671;1.87564;2.03731
21;0.136495;1.37514;1.51164
22;0.145578;1.49968;1.64526
23;1.11771;1.81594;2.93365
24;0.163507;1.39036;1.55386
25;0.166809;1.38038;1.54719
26;1.2644;1.41396;2.67837
27;1.40631;1.30967;2.71598
28;0.18871;1.5933;1.78201
29;0.294317;1.52437;1.81868
30;0.19694;1.21021;1.40715

Time step 31
===============
31;0.633431;1.8116;2.44503
32;0.243283;1.43493;1.67821
33;0.239135;1.52559;1.76473
34;0.240346;1.26478;1.50513
35;0.235375;1.64112;1.8765
36;0.240394;1.68689;1.92728
37;0.279349;2.10981;2.38916
38;1.2691;1.62787;2.89696
39;0.360276;1.78458;2.14485
40;2.25322;1.79388;4.0471
41;1.96092;2.00277;3.96369
42;0.440467;1.40572;1.84619
43;0.295287;1.37912;1.6744
44;0.313033;1.3617;1.67473
45;1.01801;1.6491;2.66711
46;0.427772;2.05019;2.47797
47;0.467969;2.07496;2.54293
48;0.594836;2.19181;2.78665
49;2.27083;1.62961;3.90044
50;0.34114;1.78191;2.12305
51;0.482862;1.70512;2.18799
52;1.72417;1.94737;3.67154
53;0.601726;1.84194;2.44367
54;1.16808;1.57157;2.73965
55;1.3177;2.4115;3.72921
56;0.535977;1.3974;1.93338
57;0.411486;1.4049;1.81638
58;0.396245;2.0667;2.46295
59;1.1916;1.64476;2.83636
60;1.86917;1.48402;3.35319
61;0.655848;2.07316;2.72901

Time step 62
===============
62;1.19025;1.81551;3.00576
63;0.80721;1.59463;2.40184
64;0.5133;1.74068;2.25398
65;0.653584;1.82989;2.48347
66;0.648824;1.82407;2.47289
67;0.631369;1.45168;2.08305
68;1.32793;1.59479;2.92272
69;0.460534;1.46285;1.92338
70;0.472007;2.27702;2.74902
71;1.63018;1.37067;3.00084
72;0.504368;1.61034;2.1147
73;0.755743;1.82851;2.58426
74;1.51707;2.3169;3.83397
75;0.766305;1.91109;2.6774
76;0.753978;2.00924;2.76322
77;0.73367;2.1151;2.84877
78;0.830294;2.36072;3.19101
79;0.813242;2.38179;3.19503
80;0.675272;1.48194;2.15721
81;0.563089;1.97497;2.53805
82;2.10489;2.25202;4.35691
83;1.02951;1.73742;2.76693
84;0.591386;1.41484;2.00623
85;0.627996;1.58204;2.21004
86;0.659979;1.34441;2.00439
87;1.70435;1.34153;3.04589
88;1.00633;1.88965;2.89598
89;0.994295;1.80212;2.79642
90;3.73991;1.7019;5.4418
91;1.46524;1.83915;3.30439
92;1.03428;1.86263;2.89691

Time step 93
===============
93;1.67102;1.26151;2.93253
94;2.00004;1.43049;3.43053
95;1.90415;1.51638;3.42053
96;1.01822;1.40148;2.4197
97;1.46319;1.48879;2.95198
98;0.825658;1.5178;2.34346
99;0.861258;1.67802;2.53927
100;1.20555;2.00419;3.20974
101;2.50532;2.04904;4.55436
102;2.56583;1.93593;4.50177
103;1.16739;2.0588;3.2262
104;1.15273;1.54102;2.69375
105;1.20259;1.68753;2.89012
106;0.836382;1.59122;2.4276
107;1.92968;1.8628;3.79248
108;1.34658;1.87314;3.21972
109;1.98573;2.37169;4.35742
110;2.03857;1.53337;3.57194
111;1.27778;1.71219;2.98997
112;1.80668;1.65747;3.46415
113;1.34743;1.53697;2.88441
114;1.07195;2.06757;3.13952
115;2.24919;1.5321;3.78129
116;1.34738;2.85745;4.20484
117;3.22799;2.2237;5.45168
118;1.48888;2.07212;3.561
119;3.55309;2.02499;5.57808
120;2.38169;1.95223;4.33392
121;2.5771;1.65199;4.22909
122;1.27346;1.84312;3.11658
123;1.60717;2.14329;3.75046

Time step 124
===============
124;3.79738;1.64867;5.44604
125;1.10521;1.54621;2.65142
126;1.21589;2.45955;3.67544
127;1.15043;1.4913;2.64173
128;1.13077;1.63231;2.76309
129;4.3324;2.12441;6.45681
130;1.20314;2.15451;3.35765
131;1.23307;1.5057;2.73878
132;1.15998;1.67231;2.83229
133;1.91121;2.03022;3.94144
134;1.22809;1.65725;2.88534
135;1.91466;2.71322;4.62788
136;1.52082;1.7472;3.26802
137;1.22339;2.85189;4.07528
138;1.98951;3.23066;5.22017
139;1.40113;1.68793;3.08906
140;4.77424;1.73683;6.51107
141;1.33441;2.0653;3.3997
142;2.71244;2.48516;5.1976
143;2.04151;1.73988;3.78139
144;1.39883;1.48123;2.88006
145;1.3301;1.58857;2.91867
146;1.70311;2.58432;4.28744
147;5.26367;2.28206;7.54574
148;1.98618;2.48879;4.47498
149;3.22814;2.62078;5.84891
150;2.99096;2.12486;5.11582
151;2.06141;2.23121;4.29262
152;3.01726;2.22613;5.24339
153;1.96293;1.88476;3.84769
154;2.32447;3.05639;5.38085

Time step 155
===============
155;2.19537;2.76767;4.96304
156;2.192;2.60837;4.80037
157;2.19754;3.12914;5.32669
158;1.65984;1.82395;3.48379
