Iteration;TimeStep;Temps_avancement(ms);Temps_affichage(ms);Temps_total(ms)
0; 2; 0.006573; 66.9122; 66.9188
1; 4; 0.045131; 8.45352; 8.49865
2; 6; 0.032846; 4.92647; 4.95932
3; 8; 0.043601; 2.97305; 3.01665
4; 10; 0.154885; 7.32464; 7.47953
5; 12; 0.250921; 6.56335; 6.81427
6; 14; 0.211683; 5.58846; 5.80015
7; 16; 0.165079; 3.15683; 3.32191
8; 18; 0.21495; 4.02624; 4.24119
9; 20; 0.501656; 5.16146; 5.66311
10; 22; 0.187665; 5.54589; 5.73356
11; 24; 0.190708; 3.58385; 3.77455
12; 26; 0.17962; 2.81243; 2.99205
13; 28; 0.580339; 4.59015; 5.17049
14; 30; 0.19663; 3.51165; 3.70828
15; 32; 0.186298; 2.45472; 2.64102
16; 34; 0.194274; 2.96089; 3.15516
17; 36; 0.331548; 5.10583; 5.43738
18; 38; 0.574915; 5.84754; 6.42246
19; 40; 0.339447; 3.79857; 4.13802
20; 42; 0.203433; 4.07923; 4.28267
21; 44; 0.199554; 5.4603; 5.65985
22; 46; 0.201571; 4.31208; 4.51365
23; 48; 0.547473; 5.22804; 5.77551
24; 50; 0.215785; 6.13745; 6.35323
25; 52; 0.337347; 4.66589; 5.00324
26; 54; 0.428683; 5.05695; 5.48564
27; 56; 0.400641; 3.43309; 3.83373
28; 58; 0.612517; 6.57312; 7.18564
29; 60; 0.469285; 4.35446; 4.82375
30; 62; 0.201785; 4.1914; 4.39318
31; 64; 0.580536; 4.24103; 4.82156
32; 66; 0.356098; 5.92293; 6.27903
33; 68; 0.528229; 4.32423; 4.85246
34; 70; 0.54583; 6.75546; 7.30129
35; 72; 0.464414; 5.22504; 5.68945
36; 74; 0.39058; 5.72991; 6.12049
37; 76; 0.613775; 5.81318; 6.42695
38; 78; 0.456431; 5.46875; 5.92518
39; 80; 0.462858; 4.18178; 4.64463
40; 82; 0.392736; 3.69607; 4.08881
41; 84; 0.481565; 4.37056; 4.85213
42; 86; 0.238443; 4.24748; 4.48592
43; 88; 0.303199; 4.01638; 4.31958
44; 90; 0.33924; 4.41596; 4.7552
45; 92; 0.367612; 5.64312; 6.01073
46; 94; 0.400658; 4.77612; 5.17678
47; 96; 0.384172; 4.9317; 5.31587
48; 98; 0.31559; 4.48814; 4.80373
49; 100; 0.395711; 3.79765; 4.19336
50; 102; 0.484158; 3.63145; 4.11561
51; 104; 0.455245; 3.98832; 4.44357
52; 106; 0.42273; 7.10022; 7.52295
53; 108; 0.260128; 2.87998; 3.1401
54; 110; 0.400856; 4.49059; 4.89144
55; 112; 0.41041; 6.46377; 6.87418
56; 114; 0.399838; 4.56058; 4.96042
57; 116; 0.298546; 4.94051; 5.23906
58; 118; 0.184379; 4.04495; 4.22933
59; 120; 0.200238; 4.61123; 4.81147
60; 122; 0.161758; 4.08308; 4.24484
61; 124; 0.234712; 4.24086; 4.47558
62; 126; 0.236869; 2.74531; 2.98218
63; 128; 0.449468; 5.89142; 6.34088
64; 130; 0.380142; 4.44804; 4.82818
65; 132; 0.668738; 5.3611; 6.02984
66; 134; 0.49082; 5.47805; 5.96887
67; 136; 0.274868; 3.8731; 4.14796
68; 138; 0.267256; 2.29995; 2.5672
69; 140; 0.228804; 2.45915; 2.68795
70; 142; 0.250786; 2.25345; 2.50424
71; 144; 0.288706; 4.11387; 4.40258
72; 146; 0.500419; 4.53718; 5.0376
73; 148; 0.363241; 4.23076; 4.59401
74; 150; 0.321867; 3.78949; 4.11136
75; 152; 0.359278; 4.89126; 5.25054
76; 154; 0.4914; 3.86566; 4.35706
77; 156; 0.517447; 5.34035; 5.8578
78; 158; 0.163915; 2.76761; 2.93153
79; 160; 0.36203; 3.54755; 3.90958
80; 162; 0.423665; 3.61119; 4.03486
81; 164; 0.518877; 3.46687; 3.98574
82; 166; 0.393597; 4.88635; 5.27994
83; 168; 0.249299; 4.36536; 4.61466
84; 170; 0.426905; 5.64091; 6.06781
85; 172; 0.481437; 5.99532; 6.47676
86; 174; 0.286513; 4.35022; 4.63673
87; 176; 0.402257; 4.91373; 5.31599
88; 178; 0.216648; 3.11575; 3.33239
89; 180; 0.156768; 2.87786; 3.03463
90; 182; 0.159767; 1.93935; 2.09912
91; 184; 0.166076; 2.47418; 2.64025
92; 186; 0.424436; 5.15001; 5.57444
93; 188; 0.158412; 4.55029; 4.7087
94; 190; 0.402453; 5.49235; 5.89481
