Iteration;TimeStep;Temps_avancement(ms);Temps_affichage(ms);Temps_total(ms)
0; 2 ; 0.826935 ; 76.9841 ; 77.811
1; 4 ; 0.090727 ; 16.7746 ; 16.8653
2; 6 ; 0.077595 ; 8.97408 ; 9.05167
3; 8 ; 0.236476 ; 3.59145 ; 3.82793
4; 10 ; 0.241484 ; 3.72022 ; 3.9617
5; 12 ; 0.267076 ; 4.21835 ; 4.48543
6; 14 ; 0.39886 ; 2.49021 ; 2.88907
7; 16 ; 0.329881 ; 2.93278 ; 3.26266
8; 18 ; 0.459014 ; 2.54715 ; 3.00617
9; 20 ; 0.352046 ; 2.67214 ; 3.02419
10; 22 ; 0.399836 ; 2.89962 ; 3.29945
11; 24 ; 0.355283 ; 6.33466 ; 6.68994
12; 26 ; 0.50177 ; 2.38809 ; 2.88986
13; 28 ; 0.641247 ; 2.32171 ; 2.96296
14; 30 ; 0.397871 ; 3.11016 ; 3.50803
15; 32 ; 0.356764 ; 2.35474 ; 2.7115
16; 34 ; 0.361761 ; 2.78883 ; 3.15059
17; 36 ; 0.373351 ; 2.08847 ; 2.46182
18; 38 ; 0.490917 ; 2.14857 ; 2.63949
19; 40 ; 0.454481 ; 2.59714 ; 3.05162
20; 42 ; 0.351092 ; 5.47257 ; 5.82366
21; 44 ; 0.364315 ; 4.91264 ; 5.27696
22; 46 ; 0.382278 ; 3.08654 ; 3.46882
23; 48 ; 0.380437 ; 4.10754 ; 4.48798
24; 50 ; 0.35733 ; 2.61982 ; 2.97715
25; 52 ; 0.355268 ; 2.56642 ; 2.92168
26; 54 ; 0.44193 ; 2.79608 ; 3.23801
27; 56 ; 0.369143 ; 4.14099 ; 4.51013
28; 58 ; 0.386109 ; 2.49716 ; 2.88327
29; 60 ; 0.351558 ; 3.2012 ; 3.55275
30; 62 ; 0.531153 ; 2.21147 ; 2.74263
31; 64 ; 0.372366 ; 3.55555 ; 3.92792
32; 66 ; 0.373834 ; 3.98678 ; 4.36061
33; 68 ; 0.359183 ; 5.08577 ; 5.44495
34; 70 ; 0.467156 ; 2.33611 ; 2.80326
35; 72 ; 0.343723 ; 2.60951 ; 2.95323
36; 74 ; 0.341992 ; 3.95347 ; 4.29547
37; 76 ; 0.336232 ; 3.26911 ; 3.60534
38; 78 ; 0.421331 ; 3.56563 ; 3.98696
39; 80 ; 0.344654 ; 3.14572 ; 3.49037
40; 82 ; 0.417117 ; 2.31926 ; 2.73638
41; 84 ; 0.757487 ; 4.79686 ; 5.55435
42; 86 ; 0.336627 ; 3.22578 ; 3.56241
43; 88 ; 0.366637 ; 2.48284 ; 2.84948
44; 90 ; 0.340782 ; 2.11083 ; 2.45161
45; 92 ; 0.332208 ; 2.49162 ; 2.82383
46; 94 ; 0.337214 ; 2.61076 ; 2.94797
47; 96 ; 0.342962 ; 2.40315 ; 2.74611
48; 98 ; 0.35037 ; 3.70726 ; 4.05763
49; 100 ; 0.411885 ; 2.23466 ; 2.64654
50; 102 ; 0.371338 ; 2.82741 ; 3.19875
51; 104 ; 0.549802 ; 3.34073 ; 3.89053
52; 106 ; 0.329974 ; 3.53647 ; 3.86644
53; 108 ; 0.347134 ; 2.95838 ; 3.30552
54; 110 ; 0.343842 ; 2.6157 ; 2.95954
55; 112 ; 0.44815 ; 3.51756 ; 3.96571
56; 114 ; 0.339332 ; 5.93039 ; 6.26973
57; 116 ; 0.400597 ; 2.81079 ; 3.21139
58; 118 ; 0.359992 ; 3.21546 ; 3.57545
59; 120 ; 0.333853 ; 2.33542 ; 2.66927
60; 122 ; 0.349553 ; 1.90427 ; 2.25382
61; 124 ; 0.421679 ; 2.97636 ; 3.39804
62; 126 ; 0.37031 ; 3.54274 ; 3.91305
63; 128 ; 0.335256 ; 2.21877 ; 2.55403
64; 130 ; 0.439863 ; 3.06728 ; 3.50714
65; 132 ; 0.335454 ; 2.1274 ; 2.46285
66; 134 ; 0.361538 ; 6.05534 ; 6.41688
67; 136 ; 0.719417 ; 3.60438 ; 4.3238
68; 138 ; 0.340903 ; 2.49297 ; 2.83387
69; 140 ; 0.331091 ; 2.6976 ; 3.02869
70; 142 ; 0.346085 ; 3.39582 ; 3.74191
71; 144 ; 0.342822 ; 3.0736 ; 3.41642
72; 146 ; 0.347618 ; 3.5292 ; 3.87681
73; 148 ; 0.700389 ; 3.89737 ; 4.59776
74; 150 ; 0.342025 ; 3.33407 ; 3.6761
75; 152 ; 0.327163 ; 2.29796 ; 2.62512
76; 154 ; 0.422509 ; 6.79516 ; 7.21767
77; 156 ; 0.410434 ; 3.46322 ; 3.87366
78; 158 ; 0.362961 ; 2.41511 ; 2.77807
79; 160 ; 0.339925 ; 2.57969 ; 2.91962
80; 162 ; 0.364214 ; 2.76416 ; 3.12837
81; 164 ; 0.369039 ; 3.93497 ; 4.30401
82; 166 ; 0.417212 ; 2.45936 ; 2.87657
83; 168 ; 0.329831 ; 3.54654 ; 3.87637
84; 170 ; 0.361271 ; 3.16577 ; 3.52704
85; 172 ; 0.343694 ; 3.50352 ; 3.84722
86; 174 ; 0.347567 ; 2.42051 ; 2.76807
87; 176 ; 0.352663 ; 3.35792 ; 3.71059
88; 178 ; 0.361159 ; 2.16181 ; 2.52297
89; 180 ; 0.338003 ; 2.49529 ; 2.8333
90; 182 ; 0.329613 ; 3.06037 ; 3.38998
91; 184 ; 0.334668 ; 2.87765 ; 3.21231
92; 186 ; 0.365657 ; 6.08687 ; 6.45253
93; 188 ; 0.489159 ; 2.86836 ; 3.35752
94; 190 ; 0.383739 ; 2.56537 ; 2.94911
95; 192 ; 0.346709 ; 1.9749 ; 2.3216
96; 194 ; 0.345691 ; 2.53998 ; 2.88567
97; 196 ; 0.357211 ; 3.84037 ; 4.19758
98; 198 ; 0.338196 ; 2.50017 ; 2.83836
99; 200 ; 0.342779 ; 1.9727 ; 2.31548
100; 202 ; 0.44631 ; 3.30112 ; 3.74743
101; 204 ; 0.430107 ; 2.46072 ; 2.89082
102; 206 ; 0.397777 ; 3.35107 ; 3.74885
103; 208 ; 0.373914 ; 3.63906 ; 4.01298
104; 210 ; 0.526546 ; 2.30703 ; 2.83358
105; 212 ; 0.355099 ; 2.61604 ; 2.97113
106; 214 ; 0.336071 ; 3.14057 ; 3.47664
107; 216 ; 0.320514 ; 2.63801 ; 2.95852
108; 218 ; 0.359693 ; 2.49385 ; 2.85355
109; 220 ; 0.340999 ; 3.46156 ; 3.80256
110; 222 ; 0.440995 ; 4.42206 ; 4.86305
111; 224 ; 0.383074 ; 3.24452 ; 3.62759
112; 226 ; 1.34916 ; 3.32563 ; 4.67478
113; 228 ; 0.340786 ; 2.52632 ; 2.86711
114; 230 ; 0.350372 ; 2.70549 ; 3.05586
115; 232 ; 0.317135 ; 2.05566 ; 2.3728
116; 234 ; 0.312244 ; 3.52007 ; 3.83232
117; 236 ; 0.330998 ; 3.17708 ; 3.50808
118; 238 ; 0.343126 ; 3.18315 ; 3.52628
119; 240 ; 0.341809 ; 2.25585 ; 2.59766
120; 242 ; 0.33508 ; 2.25025 ; 2.58533
121; 244 ; 0.32766 ; 3.2694 ; 3.59706
122; 246 ; 0.335966 ; 3.23063 ; 3.5666
123; 248 ; 0.297921 ; 3.14059 ; 3.43851
124; 250 ; 0.385081 ; 2.97439 ; 3.35947
125; 252 ; 0.299834 ; 3.79813 ; 4.09796
126; 254 ; 0.29852 ; 5.49308 ; 5.7916
127; 256 ; 0.34429 ; 2.23949 ; 2.58378
128; 258 ; 0.543658 ; 2.99273 ; 3.53639
129; 260 ; 0.352584 ; 3.19159 ; 3.54417
130; 262 ; 0.280183 ; 2.40097 ; 2.68115
131; 264 ; 0.256791 ; 3.23488 ; 3.49167
132; 266 ; 0.245235 ; 4.31656 ; 4.5618
133; 268 ; 0.320687 ; 3.02657 ; 3.34726
134; 270 ; 0.224367 ; 3.22213 ; 3.4465
135; 272 ; 0.203785 ; 3.03846 ; 3.24225
136; 274 ; 0.210862 ; 3.92971 ; 4.14057
137; 276 ; 0.144759 ; 3.21514 ; 3.3599
138; 278 ; 0.131725 ; 2.39668 ; 2.5284
139; 280 ; 0.121191 ; 2.59627 ; 2.71746
140; 282 ; 0.102534 ; 3.7388 ; 3.84134
141; 284 ; 0.381703 ; 3.19423 ; 3.57594
142; 286 ; 0.096833 ; 2.55314 ; 2.64997
143; 288 ; 0.211854 ; 3.16157 ; 3.37343
144; 290 ; 0.082946 ; 2.66321 ; 2.74615
145; 292 ; 0.142864 ; 2.76401 ; 2.90688
146; 294 ; 0.107692 ; 3.33077 ; 3.43846
147; 296 ; 0.095117 ; 3.47237 ; 3.56749
148; 298 ; 0.082383 ; 3.63363 ; 3.71601
149; 300 ; 0.197463 ; 3.36288 ; 3.56034
150; 302 ; 0.230976 ; 3.06964 ; 3.30062
151; 304 ; 0.079031 ; 2.28471 ; 2.36375
152; 306 ; 0.080763 ; 2.93305 ; 3.01381
153; 308 ; 0.077936 ; 3.09392 ; 3.17186
154; 310 ; 0.106096 ; 2.23195 ; 2.33804
155; 312 ; 0.188088 ; 2.48714 ; 2.67523
156; 314 ; 0.148485 ; 3.61509 ; 3.76357
157; 316 ; 0.310894 ; 3.14841 ; 3.45931
158; 318 ; 0.214731 ; 3.5547 ; 3.76943
159; 320 ; 0.081145 ; 3.38858 ; 3.46973
160; 322 ; 0.471574 ; 2.78139 ; 3.25297
161; 324 ; 0.26268 ; 3.74865 ; 4.01133
162; 326 ; 0.080787 ; 3.01756 ; 3.09834
163; 328 ; 0.079252 ; 2.85049 ; 2.92974
164; 330 ; 0.078553 ; 5.66164 ; 5.74019
165; 332 ; 0.1077 ; 5.4631 ; 5.5708
166; 334 ; 0.150739 ; 3.24809 ; 3.39883
167; 336 ; 0.093454 ; 3.32449 ; 3.41794
168; 338 ; 0.076623 ; 2.99903 ; 3.07566
169; 340 ; 0.644943 ; 2.94202 ; 3.58696
170; 342 ; 0.077561 ; 3.1887 ; 3.26627
171; 344 ; 0.076991 ; 3.30359 ; 3.38058
172; 346 ; 0.110157 ; 3.40082 ; 3.51097
173; 348 ; 0.162001 ; 3.559 ; 3.721
174; 350 ; 0.152725 ; 5.93899 ; 6.09171
175; 352 ; 0.204335 ; 2.82957 ; 3.03391
176; 354 ; 0.094251 ; 2.69251 ; 2.78676
177; 356 ; 0.076246 ; 2.25662 ; 2.33287
178; 358 ; 0.09595 ; 4.49172 ; 4.58767
179; 360 ; 0.428704 ; 3.67504 ; 4.10374
180; 362 ; 0.104624 ; 2.83266 ; 2.93729
181; 364 ; 0.080634 ; 2.91139 ; 2.99203
182; 366 ; 0.103617 ; 2.96404 ; 3.06766
183; 368 ; 0.075301 ; 5.08657 ; 5.16187
184; 370 ; 0.473205 ; 2.08655 ; 2.55976
185; 372 ; 0.075308 ; 2.64694 ; 2.72225
186; 374 ; 0.196808 ; 2.75023 ; 2.94704
187; 376 ; 0.143373 ; 3.45615 ; 3.59952
188; 378 ; 0.226227 ; 3.50955 ; 3.73577
189; 380 ; 0.10233 ; 3.90933 ; 4.01166
190; 382 ; 0.09651 ; 3.21328 ; 3.30979
191; 384 ; 0.108509 ; 3.29744 ; 3.40595
192; 386 ; 0.101764 ; 3.54298 ; 3.64475
193; 388 ; 0.135499 ; 2.0439 ; 2.1794
194; 390 ; 0.153762 ; 3.56562 ; 3.71939
195; 392 ; 0.077206 ; 3.10259 ; 3.17979
196; 394 ; 0.076896 ; 4.36832 ; 4.44522
197; 396 ; 0.146894 ; 3.13214 ; 3.27903
198; 398 ; 0.246778 ; 2.55403 ; 2.80081
199; 400 ; 0.108654 ; 3.22044 ; 3.3291
200; 402 ; 0.080044 ; 3.60196 ; 3.682
201; 404 ; 0.090267 ; 3.18935 ; 3.27961
202; 406 ; 0.075326 ; 5.18234 ; 5.25767
203; 408 ; 0.115224 ; 3.44902 ; 3.56424
204; 410 ; 0.107506 ; 2.48161 ; 2.58912
205; 412 ; 0.103217 ; 2.57668 ; 2.6799
206; 414 ; 0.098581 ; 2.8528 ; 2.95138
207; 416 ; 0.238049 ; 2.60079 ; 2.83884
208; 418 ; 0.107115 ; 3.95932 ; 4.06644
209; 420 ; 0.076492 ; 2.86996 ; 2.94645
210; 422 ; 0.136416 ; 2.25382 ; 2.39024
211; 424 ; 0.075422 ; 2.79299 ; 2.86842
212; 426 ; 0.147291 ; 2.79817 ; 2.94546
213; 428 ; 0.092307 ; 2.13162 ; 2.22392
214; 430 ; 0.119984 ; 3.51796 ; 3.63794
215; 432 ; 0.076618 ; 1.99514 ; 2.07176
216; 434 ; 0.157454 ; 3.37627 ; 3.53372
217; 436 ; 0.099036 ; 2.97276 ; 3.07179
218; 438 ; 0.076408 ; 3.19071 ; 3.26711
219; 440 ; 0.08195 ; 4.41442 ; 4.49637
220; 442 ; 0.098085 ; 3.29383 ; 3.39191
221; 444 ; 0.143515 ; 3.48418 ; 3.62769
222; 446 ; 0.075583 ; 4.71215 ; 4.78773
223; 448 ; 0.186367 ; 5.43476 ; 5.62113
224; 450 ; 0.137697 ; 3.26543 ; 3.40313
225; 452 ; 0.178819 ; 3.06568 ; 3.2445
226; 454 ; 0.100894 ; 3.78436 ; 3.88525
227; 456 ; 0.150108 ; 4.27872 ; 4.42883
228; 458 ; 0.074276 ; 4.58626 ; 4.66054
229; 460 ; 0.078186 ; 3.26274 ; 3.34092
230; 462 ; 0.243206 ; 3.45734 ; 3.70055
231; 464 ; 0.089349 ; 3.08474 ; 3.17409
232; 466 ; 0.074915 ; 2.89647 ; 2.97138
233; 468 ; 0.157036 ; 3.68296 ; 3.84
234; 470 ; 0.117722 ; 3.05735 ; 3.17507
235; 472 ; 0.210109 ; 2.72447 ; 2.93458
236; 474 ; 0.123414 ; 3.54248 ; 3.66589
237; 476 ; 0.094822 ; 2.71639 ; 2.81121
238; 478 ; 0.144796 ; 3.12102 ; 3.26581
239; 480 ; 0.219588 ; 5.08031 ; 5.2999
240; 482 ; 0.126186 ; 3.34159 ; 3.46778
241; 484 ; 0.217182 ; 3.58073 ; 3.79792
242; 486 ; 0.082088 ; 2.3876 ; 2.46969
243; 488 ; 0.099743 ; 2.73784 ; 2.83758
244; 490 ; 0.084228 ; 3.71602 ; 3.80025
245; 492 ; 0.285771 ; 2.71405 ; 2.99982
246; 494 ; 0.251622 ; 8.00811 ; 8.25973
247; 496 ; 0.105967 ; 2.93957 ; 3.04554
248; 498 ; 0.095316 ; 3.56947 ; 3.66479
249; 500 ; 0.077631 ; 2.37198 ; 2.44961
250; 502 ; 0.099896 ; 2.93955 ; 3.03945
251; 504 ; 0.073857 ; 2.72367 ; 2.79753
252; 506 ; 0.07516 ; 3.02224 ; 3.0974
253; 508 ; 0.109398 ; 3.29035 ; 3.39975
254; 510 ; 0.092926 ; 2.82785 ; 2.92077
255; 512 ; 0.076667 ; 3.02277 ; 3.09943
256; 514 ; 0.086888 ; 2.46382 ; 2.55071
257; 516 ; 0.077002 ; 2.79486 ; 2.87187
258; 518 ; 0.120038 ; 5.079 ; 5.19904
259; 520 ; 0.082411 ; 2.50408 ; 2.5865
260; 522 ; 0.099214 ; 4.76248 ; 4.8617
261; 524 ; 0.100336 ; 3.55039 ; 3.65073
262; 526 ; 0.183328 ; 3.57437 ; 3.7577
263; 528 ; 0.099386 ; 1.98837 ; 2.08776
264; 530 ; 0.076473 ; 2.5064 ; 2.58287
265; 532 ; 0.107437 ; 2.63375 ; 2.74119
266; 534 ; 0.074825 ; 2.37223 ; 2.44705
267; 536 ; 0.164432 ; 2.79391 ; 2.95834
268; 538 ; 0.095661 ; 2.59854 ; 2.6942
269; 540 ; 0.136484 ; 2.34009 ; 2.47658
270; 542 ; 0.099597 ; 2.85225 ; 2.95185
271; 544 ; 0.206331 ; 3.10668 ; 3.31301
