Simulation Parameters:
Length: 1
Discretization: 20
Wind: (0, 0)
Start Fire Position: (10, 10)
-------------------------------------------
TimeStep;Temps_avancement(ms);Temps_affichage(ms);Temps_total(ms)
1;0.03687;83.9838;84.0207
2;0.033623;9.75036;9.78398
3;0.04526;4.9554;5.00066
4;0.079151;4.88099;4.96015
5;0.082852;3.55266;3.63551
6;0.118588;3.73901;3.8576
7;0.151688;2.81041;2.9621
8;0.192861;5.46616;5.65902
9;0.229196;2.5033;2.7325
10;0.272399;2.58012;2.85252
11;0.31985;2.51385;2.8337
12;0.380024;2.8929;3.27293
13;0.412151;5.22392;5.63607
14;0.424555;4.32236;4.74692
15;0.483023;4.00462;4.48765
16;0.843651;3.4207;4.26435
17;0.64405;6.56681;7.21086
18;0.498583;4.10732;4.6059
19;0.494128;9.47347;9.9676
20;0.535468;4.00895;4.54441
21;0.574609;3.8964;4.47101
22;1.33753;7.30073;8.63826
23;0.566587;4.16358;4.73017
24;0.559354;4.99046;5.54982
25;0.527118;5.55349;6.08061
26;0.570472;4.72298;5.29345
27;0.507275;5.41574;5.92302
28;0.514961;5.38054;5.8955
29;0.549664;4.19228;4.74194
30;0.515114;3.28436;3.79947
31;1.21573;3.9198;5.13552
32;0.521427;3.60538;4.12681
33;0.503443;3.69323;4.19667
34;0.601988;3.37457;3.97655
35;0.57358;4.77545;5.34903
36;0.51193;4.30316;4.81508
37;0.502463;4.28417;4.78663
38;0.65548;5.838;6.49348
39;0.52212;5.22966;5.75178
40;0.569506;5.14765;5.71716
41;0.818309;5.80915;6.62746
42;0.519284;4.70841;5.22769
43;0.509883;5.06505;5.57493
44;0.521731;4.69719;5.21892
45;0.518252;4.60846;5.12671
46;0.502751;4.51224;5.01499
47;0.746983;6.12852;6.8755
48;0.509548;4.91908;5.42862
49;0.507635;4.65331;5.16094
50;0.697304;5.4157;6.113
51;0.514223;5.00895;5.52318
52;0.487955;4.7948;5.28276
53;0.500155;5.94213;6.44228
54;0.503209;4.68903;5.19224
55;0.659196;8.01715;8.67635
56;0.541362;5.42818;5.96954
57;0.495762;6.061;6.55676
58;0.655199;4.88359;5.53878
59;0.507423;5.21168;5.7191
60;0.499262;4.40121;4.90048
61;0.510396;4.09843;4.60883
62;0.496178;3.98929;4.48547
63;0.492665;4.15878;4.65145
64;0.565233;4.76423;5.32946
65;0.498121;4.06685;4.56497
66;0.548752;4.07242;4.62117
67;0.5025;5.92908;6.43158
68;0.533667;4.27839;4.81205
69;0.488495;4.08223;4.57073
