Iteration;Temps_avancement(ms);Temps_affichage(ms);Temps_total(ms)
0; 0.00775; 763.497; 763.504
1; 0.037767; 25.3335; 25.3712
2; 0.030773; 14.4424; 14.4731
3; 0.101131; 6.62284; 6.72397
4; 0.085718; 7.46208; 7.5478
5; 0.262639; 9.0803; 9.34294
6; 0.355349; 4.83404; 5.18939
7; 0.191631; 6.40958; 6.60121
8; 0.426472; 3.71931; 4.14578
9; 0.594358; 3.51781; 4.11217
10; 0.187203; 4.53427; 4.72148
11; 0.545927; 4.32071; 4.86664
12; 0.171946; 3.44749; 3.61944
13; 0.343814; 4.29628; 4.6401
14; 0.238772; 3.7609; 3.99967
15; 0.353944; 3.46984; 3.82378
16; 0.311385; 3.10365; 3.41504
17; 0.566814; 4.12065; 4.68746
18; 0.381061; 3.80158; 4.18264
19; 0.467882; 3.86998; 4.33786
20; 0.552517; 4.61033; 5.16284
21; 0.429958; 4.10395; 4.53391
22; 0.54952; 3.83003; 4.37955
23; 1.26238; 3.8626; 5.12498
24; 0.33233; 4.08361; 4.41594
25; 0.196999; 4.075; 4.27199
26; 0.316842; 3.35479; 3.67163
27; 0.503584; 4.45597; 4.95955
28; 0.577504; 5.77278; 6.35028
29; 0.431949; 4.13793; 4.56988
30; 0.362787; 3.44598; 3.80877
31; 0.485206; 3.41296; 3.89816
32; 0.786087; 3.44224; 4.22833
33; 0.637879; 5.53602; 6.17389
34; 0.396298; 4.58891; 4.98521
35; 0.65716; 4.3152; 4.97236
36; 0.292258; 3.53248; 3.82474
37; 0.294897; 3.59923; 3.89412
38; 0.181988; 3.63323; 3.81522
39; 0.303846; 3.27548; 3.57932
40; 0.410618; 5.36115; 5.77177
41; 0.48433; 4.3664; 4.85073
42; 0.391027; 5.59419; 5.98522
43; 0.449057; 3.81794; 4.26699
44; 0.467998; 4.57516; 5.04315
45; 0.188858; 3.34272; 3.53157
46; 0.29953; 4.72625; 5.02578
47; 0.491081; 4.19633; 4.68741
48; 0.35388; 4.07264; 4.42652
49; 0.523083; 4.94653; 5.46962
50; 0.574256; 4.67206; 5.24632
51; 0.441339; 4.72982; 5.17116
52; 0.552965; 4.36093; 4.9139
53; 0.214965; 3.71817; 3.93313
54; 0.409637; 4.08749; 4.49712
55; 0.229195; 4.97782; 5.20702
56; 0.387163; 4.39325; 4.78041
57; 0.301907; 3.41485; 3.71676
58; 0.350174; 3.15667; 3.50684
59; 0.17728; 3.32623; 3.50351
60; 0.593433; 3.86627; 4.45971
61; 0.262412; 2.1494; 2.41181
62; 0.401935; 3.97993; 4.38187
63; 0.168901; 3.29274; 3.46164
64; 0.218588; 3.72461; 3.9432
65; 0.559217; 5.08434; 5.64356
66; 0.354163; 3.93478; 4.28894
67; 0.242033; 5.03782; 5.27985
68; 0.492325; 5.57865; 6.07098
69; 0.227778; 4.29522; 4.523
70; 0.287895; 4.0853; 4.3732
71; 0.520243; 3.40394; 3.92418
72; 0.456529; 5.86046; 6.31699
73; 0.388843; 5.90902; 6.29786
74; 0.177981; 5.81565; 5.99363
75; 0.212583; 4.05858; 4.27116
76; 0.517264; 5.57076; 6.08803
77; 0.57335; 6.66512; 7.23847
78; 0.454455; 3.94947; 4.40392
79; 0.372723; 4.21172; 4.58444
80; 0.387569; 3.4121; 3.79967
81; 0.504303; 5.86169; 6.36599
82; 0.20613; 4.84732; 5.05345
83; 0.327695; 4.5584; 4.8861
84; 0.51984; 4.79958; 5.31942
85; 0.228429; 5.49241; 5.72084
86; 0.240099; 3.19327; 3.43337
87; 0.188539; 5.79193; 5.98047
88; 0.222074; 3.82061; 4.04269
89; 0.170322; 5.15857; 5.32889
90; 0.162197; 3.30037; 3.46256
91; 0.233174; 3.32477; 3.55795
92; 0.225205; 3.90735; 4.13256
93; 0.44018; 4.8739; 5.31408
94; 0.181026; 4.44252; 4.62355
95; 0.245493; 3.48246; 3.72795
96; 0.205984; 3.60848; 3.81446
97; 0.380945; 3.13822; 3.51917
98; 0.321277; 3.6885; 4.00978
99; 0.313485; 3.86564; 4.17912
