Iteration;Temps_avancement(ms);Temps_affichage(ms);Temps_total(ms)
0; 0.042885; 76.4634; 76.5063
1; 1.24148; 12.025; 13.2665
2; 0.095835; 10.9525; 11.0484
3; 0.057604; 6.06061; 6.11821
4; 0.087198; 6.5576; 6.6448
5; 0.134406; 7.10009; 7.2345
6; 0.177204; 2.59118; 2.76839
7; 2.65896; 10.0458; 12.7048
8; 0.218569; 1.97033; 2.1889
9; 0.251662; 7.01781; 7.26947
10; 0.306457; 4.27286; 4.57932
11; 0.280603; 9.00898; 9.28958
12; 0.283714; 3.61254; 3.89625
13; 0.299223; 2.84361; 3.14283
14; 0.277128; 5.92488; 6.20201
15; 0.327626; 4.55279; 4.88042
16; 0.304666; 2.68687; 2.99154
17; 0.295612; 7.60654; 7.90215
18; 0.292517; 2.41024; 2.70275
19; 0.279873; 7.06662; 7.3465
20; 0.283534; 4.27746; 4.561
21; 0.297767; 5.23049; 5.52826
22; 0.293213; 2.0533; 2.34652
23; 0.320455; 4.00006; 4.32052
24; 0.311963; 2.41095; 2.72291
25; 0.276192; 2.75584; 3.03203
26; 0.297872; 8.87354; 9.17142
27; 0.288925; 2.56742; 2.85635
28; 0.283544; 3.22755; 3.51109
29; 0.337497; 2.06153; 2.39902
30; 0.269455; 3.50305; 3.7725
31; 0.272261; 2.69946; 2.97172
32; 0.274176; 3.54983; 3.824
33; 0.269771; 5.28298; 5.55275
34; 0.28126; 2.64047; 2.92173
35; 0.344813; 8.47554; 8.82035
36; 0.304794; 2.1143; 2.4191
37; 0.385455; 3.53918; 3.92464
38; 0.311022; 1.73849; 2.04951
39; 1.61434; 5.37329; 6.98763
40; 0.308566; 2.30254; 2.61111
41; 0.597419; 2.23585; 2.83327
42; 0.255105; 1.85274; 2.10785
43; 0.284902; 2.27887; 2.56377
44; 0.278284; 5.27323; 5.55151
45; 0.320385; 3.47837; 3.79875
46; 0.27783; 6.42823; 6.70606
47; 0.286544; 5.34211; 5.62866
48; 0.41481; 7.52747; 7.94228
49; 0.264886; 2.95019; 3.21508
50; 0.267256; 6.77859; 7.04584
51; 0.280283; 1.96763; 2.24791
52; 0.275135; 1.5867; 1.86183
53; 0.29377; 2.5774; 2.87117
54; 0.27921; 3.10436; 3.38357
55; 0.266718; 4.28907; 4.55579
56; 0.27416; 5.94766; 6.22182
57; 0.284279; 4.25409; 4.53837
58; 0.272182; 3.94582; 4.218
59; 0.413577; 3.24144; 3.65502
60; 0.269911; 9.61256; 9.88248
61; 0.267297; 7.00833; 7.27563
62; 0.272575; 4.19097; 4.46355
63; 0.264942; 2.79223; 3.05717
64; 0.464002; 2.51864; 2.98264
65; 0.267674; 3.6448; 3.91247
66; 0.270258; 2.41703; 2.68728
67; 0.262005; 5.62295; 5.88495
68; 0.255506; 2.45378; 2.70929
69; 0.266837; 8.67618; 8.94302
70; 0.265463; 4.38553; 4.65099
71; 0.26314; 2.79266; 3.0558
72; 0.500021; 2.9799; 3.47992
73; 0.284197; 2.16963; 2.45383
74; 0.268624; 2.90287; 3.1715
75; 0.260505; 1.97097; 2.23148
76; 0.26184; 6.08615; 6.34799
77; 0.262441; 1.8149; 2.07734
78; 0.255556; 4.87678; 5.13233
79; 0.260496; 2.65002; 2.91051
80; 0.26765; 2.2149; 2.48255
81; 0.274088; 1.93201; 2.2061
82; 0.271345; 3.93293; 4.20427
83; 0.360212; 3.03238; 3.39259
84; 1.07138; 2.11113; 3.18251
85; 0.250035; 5.16072; 5.41076
86; 0.256555; 3.00791; 3.26446
87; 0.269557; 5.00981; 5.27937
88; 0.260435; 6.29464; 6.55508
89; 0.258379; 3.3041; 3.56248
90; 0.307788; 3.81293; 4.12071
91; 0.264977; 1.82407; 2.08904
92; 0.297748; 4.98359; 5.28134
93; 0.262518; 2.17193; 2.43445
94; 0.249515; 5.8611; 6.11061
95; 0.281847; 2.3443; 2.62615
96; 0.363457; 2.72599; 3.08945
97; 0.257211; 2.61427; 2.87148
98; 1.50012; 2.03406; 3.53418
99; 0.249914; 2.40277; 2.65268
