Simulation Parameters:
Length: 1
Discretization: 20
Wind: (0, 0)
Start Fire Position: (10, 10)
-------------------------------------------
TimeStep	UpdateTime(ms)	DisplayTime(ms)	TotalTime(ms)
2178	0.134265	84.9843	85.5319
2179	0.0662	5.65324	5.73951
2180	0.061081	3.92592	3.98984
2181	0.10672	4.40431	4.514
2182	0.166702	3.21972	3.38942
2183	0.11853	2.89195	3.01433
2184	0.204113	2.83517	3.04227
2185	0.122401	2.53982	2.66506
2186	0.283365	2.67564	2.96272
2187	0.155218	2.54931	2.70725
2188	0.23172	2.69378	3.06654
2189	0.252111	2.53599	2.79115
2190	2.80399	2.79683	5.61386
2191	0.368648	4.49149	4.87067
2192	0.438929	3.00132	3.45146
2193	0.578672	3.45315	4.04217
2194	0.499371	4.00476	4.51553
2195	0.540236	1.84085	2.39613
2196	0.67813	3.3153	4.00437
2197	0.753171	4.87647	5.6412
2198	0.80527	3.21699	4.0333
2199	0.876113	2.55388	3.44021
2200	1.90037	2.88567	4.79695
2201	0.821933	4.51505	5.35112
2202	0.898098	4.96902	5.87738
2203	0.792667	5.77873	6.58245
2204	0.791235	4.6974	5.49873
2205	2.10541	2.38529	4.50609
2206	0.76718	3.01374	3.79316
2207	0.766944	3.75773	4.53561

Time step 2208
===============
2208	0.890851	1.59631	2.56898
2209	0.845485	2.96587	3.82133
2210	2.2732	3.29602	5.57997
2211	0.808656	2.39142	3.21207
2212	2.08319	2.51525	4.61006
2213	2.37373	2.99629	5.38102
2214	0.812855	4.77299	5.59817
2215	0.81367	3.21689	4.04186
2216	0.847047	1.69087	2.54842
2217	0.866538	3.99828	4.8763
2218	0.783293	2.32878	3.12299
2219	0.785468	2.74015	3.53613
2220	2.15005	3.33937	5.50025
2221	2.36477	2.75258	5.1278
2222	0.795758	3.61012	4.41694
2223	1.39052	3.6621	5.06404
2224	1.39056	4.58168	5.9825
2225	0.976976	3.94041	4.92857
2226	1.08999	3.40537	4.50558
2227	0.789824	3.22149	4.02629
2228	2.36629	2.92565	5.30243
2229	0.80864	4.31124	5.1306
2230	0.776727	3.24519	4.03305
2231	1.31694	2.31871	3.64692
2232	1.00228	2.36512	3.37812
2233	1.32158	3.34092	4.67339
2234	0.999925	4.8508	5.86094
2235	0.774249	4.37648	5.16182
2236	0.768083	4.06443	4.84291
2237	0.775585	3.06673	3.85274
2238	1.41356	3.31233	4.7369
2239	1.97171	3.28967	5.2721

Time step 2240
===============
2240	1.08615	5.61817	6.76611
2241	0.903733	3.24518	4.15985
2242	0.80558	3.87058	4.68671
2243	0.747238	4.37717	5.13509
2244	0.80283	3.38583	4.19912
2245	1.14413	3.71787	4.87364
2246	1.52505	2.29764	3.83397

Simulation Ended.
