Simulation Parameters:
Length: 1
Discretization: 20
Wind: (0, 0)
Start Fire Position: (10, 10)
-------------------------------------------
tUpdateTime(ms)	DisplayTime(ms)	TotalTime(ms)
2.93346	92.111	95.4622
0.244685	11.9021	12.15
0.241028	6.72619	6.97044
0.241627	4.04227	4.28676
0.211473	8.03526	8.25053
0.236736	4.60413	4.84413
0.33719	6.1375	6.47818
0.194137	4.24853	4.44586
0.249364	2.98448	3.23708
0.256378	1.65954	1.91879
0.298107	3.73576	4.05159
0.349832	1.95456	2.31532
0.631839	3.66331	4.30656
0.407046	2.5227	2.94008
0.431661	3.74754	4.19051
0.829806	3.41892	4.25961
0.798524	3.51497	4.32552
0.592541	1.79884	2.40246
3.32325	11.5566	14.8909
3.42729	7.45573	10.8947
1.25312	6.49189	7.75571
0.653496	2.87146	3.5365
1.86941	2.85157	4.73268
0.716669	3.57146	4.29887
0.858857	3.89881	4.76969
0.611146	4.00847	4.63054
0.721779	1.69765	2.42993
0.583327	2.33042	2.92513
1.14383	2.31766	3.47395
0.936549	3.42895	4.37717

Time step 2208
===============
1.13653	4.39768	5.63575
0.811156	2.43139	3.25396
2.5187	3.26722	5.79705
1.93621	2.28432	4.23106
0.728225	3.34179	4.32222
0.734988	6.29547	7.03369
0.677459	3.1311	3.81933
0.799348	1.87131	2.68181
0.657256	3.05343	3.72201
0.655925	2.07614	2.74364
0.679316	3.8338	4.52562
0.646207	4.98144	5.63941
0.681552	2.68331	3.37607
0.975914	2.81082	3.79879
4.21505	2.14107	6.37123
0.726343	3.44161	4.17871
1.91682	3.36482	5.29352
0.66974	2.89653	3.57705
0.804822	3.82372	4.63974
1.07438	5.65069	6.73665
0.683269	4.49571	5.18932
0.688163	4.19807	4.89782
1.30165	3.48697	4.7997
1.27025	4.93178	6.21443
0.661459	8.76298	9.43594
2.38573	1.65631	4.05353
0.645663	3.4413	4.09704
1.15707	3.67499	4.84535
0.635296	3.71957	4.36576
0.731931	2.93707	3.68047
1.42221	2.5271	3.9607
0.708666	3.1952	3.9152

Time step 2240
===============
6.0323	2.15974	8.26049
0.768889	3.52832	4.30863
0.964054	3.38253	4.35798
14.0585	5.08331	19.1541
1.07283	9.83176	10.9174
0.714261	10.4355	11.1613
0.645493	1.93287	2.58918
0.671341	3.34795	4.03083
0.659397	5.44059	6.11137
1.14882	4.48679	5.64713
0.633697	3.73997	4.38517
1.29575	4.58913	5.89754
0.661719	3.26413	3.93629
2.43533	3.49404	5.94203
0.696761	4.26528	4.97375
3.38939	2.08791	5.48823
0.82308	3.19089	4.02534
0.694715	3.43404	4.14185
1.12762	2.72317	3.8622
0.943044	3.27818	4.23232
0.70847	2.25214	2.97149
0.658914	3.14112	3.81133
2.88186	2.62484	5.51782
1.02359	4.02973	5.06511
0.682046	3.93012	4.6232
3.74182	5.43926	9.19236
0.578153	2.7498	3.33815
0.975367	3.91189	4.89971
0.668505	2.82662	3.50618
1.19253	4.27967	5.48456
0.700635	5.91494	6.62669
1.87891	8.26241	10.1533

Time step 2272
===============
0.777217	5.42093	6.26573
0.609119	4.58699	5.20832
0.699297	4.2747	4.98465
0.916774	4.21245	5.14086
0.648659	1.7894	2.44879
0.636294	3.69157	4.339
0.710305	6.18583	6.90688
0.666296	5.52328	6.20016
1.03642	3.85615	4.90353
0.69938	3.42984	4.13989
0.851853	2.62735	3.49137
0.619771	3.82531	4.45648
0.66651	3.96246	4.64027
1.00928	4.26605	5.28604
0.643226	2.23029	2.88493
0.638497	4.38687	5.03676
0.741842	10.2777	11.0307
0.676454	10.7643	11.4527
4.22294	4.3599	8.59391
1.93819	3.89988	5.85009
1.54486	2.63735	4.19393
0.688674	3.03166	3.73356
1.03906	4.85398	5.90451
1.2233	4.0391	5.27429
0.565622	1.85343	2.43066
1.27089	2.722	4.00407
1.56965	3.59055	5.17104
1.03615	4.18124	5.22841
0.753418	2.49556	3.25926
2.95004	2.87873	5.84113
0.734512	2.81335	3.55937
1.00645	2.60409	3.62102

Time step 2304
===============
0.79378	2.20368	3.06412
0.578319	1.76931	2.35881
1.49997	1.93847	3.44878
0.836127	2.83545	3.68253
3.51625	2.51148	6.03835
0.614227	2.5624	3.18773
4.89558	4.21372	9.1203
0.655797	4.02601	4.69315
1.22228	1.71562	2.94948
2.17107	2.64406	4.82584
