Simulation Parameters:
Length: 1
Discretization: 20
Wind: (0, 0)
Start Fire Position: (10, 10)
-------------------------------------------
TimeStep	UpdateTime(ms)	DisplayTime(ms)	TotalTime(ms)
139997794992865	0.012808	88.6483	89.0926
139997794992866	0.020781	15.3313	15.3552
139997794992867	0.013879	17.0251	17.0415
139997794992868	0.033929	15.7856	15.8224
139997794992869	0.027339	4.34384	4.37326
139997794992870	0.033852	5.80607	5.8428
139997794992871	0.041975	3.15579	3.20031
139997794992872	0.052026	3.33442	3.38857
139997794992873	0.059033	3.27962	3.34065
139997794992874	0.082795	2.44271	2.52747
139997794992875	0.192436	3.20321	3.40522
139997794992876	0.120873	4.30195	4.43426
139997794992877	0.117762	2.96466	3.09367
139997794992878	0.131815	3.29715	3.44036
139997794992879	0.11652	5.45915	5.58806
139997794992880	0.134614	5.01838	5.16255
139997794992881	0.153366	3.26019	3.42314
139997794992882	0.171588	1.92373	2.1057
139997794992883	0.292268	3.3771	3.68196
139997794992884	0.168903	2.56252	2.74201
139997794992885	0.156859	5.23848	5.40741
139997794992886	0.159463	3.4006	3.57036
139997794992887	0.162896	2.80194	2.97439
139997794992888	0.182192	4.09652	4.2952
139997794992889	0.206601	3.67524	3.89125
139997794992890	0.181837	3.26617	3.45833
139997794992891	0.183348	2.58182	2.77449
139997794992892	0.185231	2.58838	2.78324
139997794992893	0.192634	3.01452	3.2183
139997794992894	0.368929	5.06382	5.44314
139997794992895	0.424979	5.31764	5.76147

Time step 139997794992896
===============
139997794992896	0.250241	4.16362	4.49012
139997794992897	0.165157	2.1443	2.31971
139997794992898	0.162395	4.95678	5.12965
139997794992899	0.252041	2.84268	3.10476
139997794992900	0.363716	2.2633	2.63715
139997794992901	0.186866	5.17199	5.37287
139997794992902	0.176909	3.22101	3.40774
139997794992903	0.180081	2.92176	3.11174
139997794992904	0.20639	4.40502	4.62216
139997794992905	0.26135	5.58207	5.85413
139997794992906	0.167201	5.87571	6.05364
139997794992907	0.213203	3.86848	4.09134
139997794992908	0.186152	2.11649	2.31354
139997794992909	0.182315	2.63089	2.8238
139997794992910	0.183401	2.44883	2.64289
139997794992911	0.179718	2.52846	2.71772
139997794992912	0.184613	1.81064	2.00615
139997794992913	0.18116	2.7654	2.95658
139997794992914	0.172202	1.90549	2.08803
139997794992915	0.17259	2.41971	2.6046
139997794992916	0.171795	1.6156	1.80098
139997794992917	0.171671	2.00989	2.19949
139997794992918	0.189978	2.79939	3.19862
139997794992919	0.183817	3.9153	4.10114
139997794992920	0.172246	3.09532	3.26998
139997794992921	0.178051	2.86955	3.04951
139997794992922	0.174342	3.25411	3.43044
139997794992923	0.279448	2.14166	2.42304
139997794992924	0.179403	6.07898	6.26087
139997794992925	1.76091	4.2064	5.96973
139997794992926	0.166168	4.47071	4.63904
139997794992927	0.292053	3.09579	3.39027

Time step 139997794992928
===============
139997794992928	0.174204	2.79315	3.46997
139997794992929	0.175844	2.45415	2.63212
139997794992930	0.215231	4.48643	4.70394
139997794992931	0.188839	3.40287	3.60324

Simulation Ended.
