Simulation Parameters:
Length: 1
Discretization: 20
Wind: (0, 0)
Start Fire Position: (10, 10)
-------------------------------------------
TimeStep	UpdateTime(ms)	DisplayTime(ms)	TotalTime(ms)
2178	1.02679	100.812	102.384
2179	3.14402	26.7626	29.9092
2180	6.26696	14.5582	20.828
2181	0.318514	9.47071	9.79168
2182	1.19788	3.4187	4.61905
2183	3.18758	5.28318	8.47373
2184	3.3167	3.17153	6.49011
2185	0.315392	3.30364	3.62161
2186	4.66385	6.25958	10.9256
2187	5.42672	3.35909	8.78835
2188	0.526809	5.95454	6.49202
2189	0.352908	1.99224	2.35606
2190	0.411412	5.64564	6.06905
2191	3.61156	3.45464	7.07751
2192	0.346695	2.35866	2.71844
2193	0.436919	3.37305	3.8224
2194	0.435716	6.35707	6.80324
2195	0.340675	2.06671	2.41839
2196	2.0242	7.15486	9.83822
2197	4.7017	4.26097	9.13273
2198	0.768385	3.16941	3.94016
2199	4.21792	9.26176	13.4908
2200	4.6278	6.09062	10.7288
2201	0.650664	2.80487	3.46636
2202	0.541766	2.19511	2.74782
2203	0.436889	5.37669	5.82461
2204	3.9973	4.20502	8.21232
2205	0.486057	3.25835	3.75714
2206	4.75178	6.27303	11.0348
2207	0.529383	2.99366	3.53326

Time step 2208
===============
2208	6.25281	2.44287	8.76583
2209	0.403826	2.57194	2.98597
2210	1.97615	6.15988	8.1461
2211	0.654003	4.44217	5.10842
2212	0.519228	2.50201	3.03153
2213	6.61239	2.35498	8.97959
2214	7.69675	2.2283	9.93797
2215	5.84359	6.52601	12.3821
2216	0.64806	7.42467	8.08498
2217	0.481082	5.81809	6.31143
2218	0.520117	9.35938	9.89203
2219	6.64883	2.98745	9.64932
2220	0.479015	8.44746	8.93891
2221	1.18755	3.12173	4.32211
2222	0.485257	3.03079	3.52804
2223	0.854562	2.23753	3.1044
2224	0.461822	2.37628	2.84838
2225	1.32008	8.09008	9.42352
2226	1.36684	7.42926	8.83219
2227	0.867439	1.88424	2.76436
2228	4.7959	5.77549	10.5829
2229	7.47545	3.3765	10.867
2230	13.3803	2.21563	15.6082
2231	3.52878	7.82061	11.3603
2232	7.4944	2.10164	9.60868
2233	0.655611	2.30194	2.96958
2234	4.43426	5.65199	10.0997
2235	1.20005	7.86761	9.08092
2236	4.478	7.05643	11.5469
2237	7.85177	3.02176	10.9006
2238	0.607674	2.65271	3.27139
2239	5.60545	2.03107	7.64672

Time step 2240
===============
2240	0.573977	2.43835	3.08413
2241	0.394614	2.24218	2.64813
2242	1.57417	3.9013	5.48795
2243	7.24995	2.14424	9.40879
2244	0.46657	2.29943	2.77724
2245	0.498967	4.62992	5.14189
2246	6.57512	2.45594	9.04102
2247	0.504829	2.27033	2.78672
2248	0.486892	3.31619	3.81365
2249	2.36693	3.86267	6.24021
2250	0.446233	2.76728	3.22563
2251	15.0844	3.18666	18.2845
2252	0.433881	3.14848	3.5949
2253	5.67829	3.44894	9.13753
2254	0.551868	2.66716	3.23175
2255	1.00438	3.44545	4.46078
2256	2.51713	2.3279	4.85536
2257	1.2974	3.38097	4.69002
2258	2.92248	4.11084	7.04505
2259	1.42278	3.72497	5.16128
2260	0.535484	4.41451	4.96019
2261	0.546124	2.81293	3.37223
2262	0.85686	2.53824	3.40602
2263	0.452514	3.0249	3.48789
2264	2.6369	5.06311	7.71037
2265	0.481689	5.73177	6.22341
2266	0.453056	2.84687	3.30971
2267	1.32653	5.21148	6.55115
2268	0.555106	4.37088	4.93836
2269	0.474944	3.36916	3.85434
2270	2.73934	6.45608	9.20702
2271	8.53728	2.41617	10.9633

Time step 2272
===============
2272	0.549292	2.71734	3.33932
2273	0.594074	1.92154	2.52786
2274	9.53439	3.38222	12.9264
2275	0.552321	8.79504	9.3604
2276	0.507168	2.27077	2.79008
2277	0.70378	2.05321	2.76705
2278	0.480452	4.38282	4.87628
2279	2.41245	6.89484	9.31865
2280	0.743841	6.58632	7.34333
2281	5.97909	2.84346	8.8324
2282	1.29115	3.23624	4.53956
2283	2.18539	5.23305	7.43072
2284	1.03275	2.34505	3.39042
2285	0.477563	2.66448	3.15327
2286	0.508262	4.10692	4.62859
2287	0.537388	5.49657	6.04762
2288	0.422482	2.10013	2.5345
2289	6.68809	5.67282	12.3712
2290	1.39314	5.00209	6.42424
2291	0.603747	2.85515	3.47174
2292	0.437942	2.91578	3.36605
2293	4.0913	2.97615	7.07799
2294	0.507037	3.03737	3.55695
2295	0.558311	5.53421	6.10463
2296	4.62137	4.19271	8.82614
2297	0.368857	2.34424	2.72495
2298	0.699794	2.98143	3.69422
2299	5.5918	6.21443	11.8162
2300	8.2331	4.07359	12.3208
2301	0.497435	2.92016	3.43072
2302	0.605078	7.40814	8.02533
2303	7.60046	4.25334	11.8641

Time step 2304
===============
2304	4.37486	3.30999	7.74424
2305	0.592259	2.84173	3.4461
2306	5.23109	1.88143	7.12271

Simulation Ended.
