Simulation Parameters:
Length: 1
Discretization: 20
Wind: (0, 0)
Start Fire Position: (10, 10)
-------------------------------------------
TimeStep	UpdateTime(ms)	DisplayTime(ms)	TotalTime(ms)
4705263753928537457	0.161086	146.652	146.813
4705263753928537458	0.103497	8.8129	8.91639
4705263753928537459	0.051264	17.5728	17.6241
4705263753928537460	0.093693	4.35219	4.44589
4705263753928537461	0.320641	5.4793	5.79994
4705263753928537462	0.171221	3.4272	3.59842
4705263753928537463	0.258812	3.14427	3.40308
4705263753928537464	0.340027	3.11441	3.45444
4705263753928537465	0.47733	5.26186	5.73919
4705263753928537466	0.359148	3.13196	3.49111
4705263753928537467	0.624288	2.91815	3.54244
4705263753928537468	0.634521	2.362	2.99652
4705263753928537469	0.882801	4.25028	5.13308
4705263753928537470	0.732807	2.24388	2.97668

Time step 4705263753928537471
===============
4705263753928537471	0.876451	2.30969	3.18614
4705263753928537472	0.685528	2.26766	2.95319
4705263753928537473	0.948039	2.38887	3.33691
4705263753928537474	1.54095	3.16288	4.70383
4705263753928537475	1.08088	2.32425	3.40513
4705263753928537476	1.79807	2.40895	4.20702
4705263753928537477	1.10455	2.30394	3.40849
4705263753928537478	1.22982	4.69707	5.92689
4705263753928537479	1.26639	2.56879	3.83518
4705263753928537480	1.13581	2.57425	3.71005
4705263753928537481	0.991459	2.46157	3.45303
4705263753928537482	1.56549	4.80881	6.37431
4705263753928537483	1.22083	2.57469	3.79552
4705263753928537484	1.25566	2.94208	4.19774
4705263753928537485	1.15002	2.70335	3.85337
4705263753928537486	1.65622	3.94657	5.60279
4705263753928537487	1.32518	3.07408	4.39926
4705263753928537488	1.64019	3.35039	4.99058
4705263753928537489	1.72371	4.40024	6.12396
4705263753928537490	1.56148	3.17532	4.73679
4705263753928537491	1.25048	2.75303	4.00351
4705263753928537492	1.22724	3.21394	4.44118
4705263753928537493	1.44751	3.19372	4.64123
4705263753928537494	1.41103	3.36885	4.77988
4705263753928537495	1.24928	2.78446	4.03374
4705263753928537496	1.29306	5.55858	6.85163
4705263753928537497	1.1036	2.37961	3.48322
4705263753928537498	1.04167	2.31422	3.35589
4705263753928537499	1.27169	2.34163	3.61331
4705263753928537500	1.36082	3.8238	5.18461
4705263753928537501	1.74116	2.39058	4.13174

Time step 4705263753928537502
===============
4705263753928537502	1.15092	2.3251	3.47602
4705263753928537503	1.18179	2.262	3.44379
4705263753928537504	1.42909	3.46983	4.89891
4705263753928537505	1.47734	2.99071	4.46805
4705263753928537506	1.19909	2.7088	3.90788
4705263753928537507	1.26511	2.71352	3.97863
4705263753928537508	1.4052	3.07497	4.48017
4705263753928537509	1.46768	2.61985	4.08753
4705263753928537510	2.14806	2.74043	4.88848
4705263753928537511	1.23921	2.61437	3.85358
4705263753928537512	1.66298	2.6869	4.34988
4705263753928537513	1.6309	2.62397	4.25487
4705263753928537514	1.73089	3.23141	4.9623
4705263753928537515	1.68177	4.30338	5.98515
4705263753928537516	1.5947	2.75418	4.34888
4705263753928537517	1.94965	2.70372	4.65337
4705263753928537518	1.91867	4.43225	6.35093
4705263753928537519	1.24412	2.72375	3.96787
4705263753928537520	2.02718	2.65194	4.67913
4705263753928537521	1.74824	2.60349	4.35173
4705263753928537522	1.72664	2.84153	4.56817
4705263753928537523	1.85026	2.79474	4.645
4705263753928537524	1.69685	2.67671	4.37356
4705263753928537525	1.85677	2.58662	4.44339
4705263753928537526	1.48329	2.67834	4.16162
4705263753928537527	1.73602	3.09798	4.834
4705263753928537528	1.44759	2.63468	4.08227
4705263753928537529	1.885	2.91969	4.80469
4705263753928537530	1.5663	2.93309	4.49938
4705263753928537531	1.90715	2.99214	4.89928
4705263753928537532	1.87789	2.82253	4.70041

Time step 4705263753928537533
===============
4705263753928537533	2.02438	2.47818	4.50257
4705263753928537534	1.38846	2.38131	3.76977
4705263753928537535	1.36347	2.32921	3.69268
4705263753928537536	1.43156	2.43884	3.87041
4705263753928537537	1.72781	2.99402	4.72183
4705263753928537538	1.53245	5.70013	7.23258
4705263753928537539	1.73013	2.64769	4.37783
4705263753928537540	1.58112	5.43569	7.01681
4705263753928537541	1.24225	2.31227	3.55452
4705263753928537542	1.58848	2.21841	3.8069
4705263753928537543	1.44153	2.7542	4.19573
4705263753928537544	1.46283	2.80899	4.27182
4705263753928537545	1.1639	2.64192	3.80582
4705263753928537546	1.72509	3.31996	5.04504
4705263753928537547	1.51275	3.87378	5.38653
4705263753928537548	1.61885	2.5207	4.13955
4705263753928537549	1.42771	2.37593	3.80364
4705263753928537550	1.47651	2.41553	3.89203
4705263753928537551	1.52229	4.91446	6.43675
4705263753928537552	1.24277	2.69765	3.94042
4705263753928537553	1.23204	2.56051	3.79255
4705263753928537554	0.899176	2.82572	3.72489
4705263753928537555	1.26017	3.99101	5.25118
4705263753928537556	1.2725	2.69764	3.97014
4705263753928537557	1.21915	2.82519	4.04434
4705263753928537558	1.00185	2.68669	3.68854
4705263753928537559	1.62562	4.29186	5.91748
4705263753928537560	1.25973	2.78735	4.04709
4705263753928537561	1.42547	2.4792	3.90468
4705263753928537562	1.19448	2.42853	3.62301
4705263753928537563	1.15909	3.36783	4.52692

Time step 4705263753928537564
===============
4705263753928537564	1.20602	2.85	4.05602
4705263753928537565	1.14907	2.50163	3.6507
4705263753928537566	1.5299	2.80575	4.33565
4705263753928537567	1.76733	3.1899	4.95723
4705263753928537568	1.47565	2.42058	3.89622
4705263753928537569	1.2297	2.39495	3.62465
4705263753928537570	1.41891	2.73794	4.15686
4705263753928537571	1.87472	2.80569	4.6804
4705263753928537572	1.66623	2.34243	4.00866
4705263753928537573	1.62728	2.51036	4.13764
4705263753928537574	1.55302	2.79112	4.34414
4705263753928537575	1.60077	3.85664	5.45741
4705263753928537576	2.02753	2.76188	4.78941
4705263753928537577	1.2811	2.62051	3.9016
4705263753928537578	1.43077	4.89656	6.32734
4705263753928537579	1.65753	2.96359	4.62112
4705263753928537580	1.50211	3.09671	4.59882
4705263753928537581	1.19586	5.70122	6.89708
4705263753928537582	1.22994	2.83112	4.06106
4705263753928537583	1.20166	2.70394	3.9056
4705263753928537584	1.2277	2.59189	3.81959
4705263753928537585	1.33509	3.78297	5.11806
4705263753928537586	1.10763	2.86578	3.97341
4705263753928537587	1.18493	2.46618	3.65111
4705263753928537588	1.38684	2.34977	3.7366
4705263753928537589	1.66757	2.33308	4.00065
4705263753928537590	1.48057	3.45325	4.93382
4705263753928537591	1.79474	2.35268	4.14742
